,n_times,n_locs,algorithm,t_rel (us)
160,100,10x10,pvlib.nrel_numba,10.79254169962951
161,100,10x10,pvlib.nrel_numpy,33.14603563339915
162,100,10x10,sg2.sg2_c++,0.3411974663322326
163,100,10x10,sunwhere.iqbal_numexpr,1.061077333239761
164,100,10x10,sunwhere.iqbal_numpy,0.984647033328656
165,100,10x10,sunwhere.nrel_numexpr,1.411298566866511
166,100,10x10,sunwhere.psa_numexpr,1.294517699958912
167,100,10x10,sunwhere.psa_numpy,1.020885566686047
168,100,10x10,sunwhere.soltrack_numexpr,1.1016712999359393
169,100,10x10,sunwhere.soltrack_numpy,0.9945811666208708
170,100,50x50,pvlib.nrel_numba,9.064051246668289
171,100,50x50,pvlib.nrel_numpy,32.39133604799281
172,100,50x50,sg2.sg2_c++,0.1714818133332301
173,100,50x50,sunwhere.iqbal_numexpr,0.0931003226723987
174,100,50x50,sunwhere.iqbal_numpy,0.1307109973276965
175,100,50x50,sunwhere.nrel_numexpr,0.1789788706616188
176,100,50x50,sunwhere.psa_numexpr,0.0913514159910846
177,100,50x50,sunwhere.psa_numpy,0.1281020919996081
178,100,50x50,sunwhere.soltrack_numexpr,0.0887191880028694
179,100,50x50,sunwhere.soltrack_numpy,0.1221630693277499
180,1000,1,pvlib.nrel_numba,5.237234998882438
181,1000,1,pvlib.nrel_numpy,19.155599661947537
182,1000,1,sg2.sg2_c++,1.3310440020480503
183,1000,1,sunwhere.iqbal_numexpr,15.031519668506617
184,1000,1,sunwhere.iqbal_numpy,15.32499566625726
185,1000,1,sunwhere.nrel_numexpr,29.192953334131744
186,1000,1,sunwhere.psa_numexpr,14.400912334773846
187,1000,1,sunwhere.psa_numpy,14.226251333942248
188,1000,1,sunwhere.soltrack_numexpr,16.073265001371816
189,1000,1,sunwhere.soltrack_numpy,15.998919333166365
190,1000,10,pvlib.nrel_numba,3.315233000224301
191,1000,10,pvlib.nrel_numpy,10.10670766675806
192,1000,10,sg2.sg2_c++,0.4388908331748098
193,1000,10,sunwhere.iqbal_numexpr,2.347821099829161
194,1000,10,sunwhere.iqbal_numpy,1.5945947333724084
195,1000,10,sunwhere.nrel_numexpr,2.330429266779296
196,1000,10,sunwhere.psa_numexpr,1.635665433423128
197,1000,10,sunwhere.psa_numpy,1.7088837332266849
198,1000,10,sunwhere.soltrack_numexpr,1.5400317002786323
199,1000,10,sunwhere.soltrack_numpy,1.5480423999785369
200,1000,100,pvlib.nrel_numba,2.365858483365931
201,1000,100,pvlib.nrel_numpy,9.492579233313638
202,1000,100,sg2.sg2_c++,0.2184113733043584
203,1000,100,sunwhere.iqbal_numexpr,0.2353853899937045
204,1000,100,sunwhere.iqbal_numpy,0.2857865233333237
205,1000,100,sunwhere.nrel_numexpr,0.315214156677636
206,1000,100,sunwhere.psa_numexpr,0.2592405866986761
207,1000,100,sunwhere.psa_numpy,0.2959716433421514
208,1000,100,sunwhere.soltrack_numexpr,0.2459269466635305
209,1000,100,sunwhere.soltrack_numpy,0.2836622699881748
210,1000,100x100,pvlib.nrel_numba,2.3579900631001998
211,1000,100x100,pvlib.nrel_numpy,8.90017831069975
212,1000,100x100,sg2.sg2_c++,0.1313442750669007
213,1000,100x100,sunwhere.iqbal_numexpr,0.034298533033143
214,1000,100x100,sunwhere.iqbal_numpy,0.061242741933529
215,1000,100x100,sunwhere.nrel_numexpr,0.0889856681669092
216,1000,100x100,sunwhere.psa_numexpr,0.0353170327000649
217,1000,100x100,sunwhere.psa_numpy,0.0826626436000272
218,1000,100x100,sunwhere.soltrack_numexpr,0.0375241523002235
219,1000,100x100,sunwhere.soltrack_numpy,0.0702029930334295
220,1000,10x10,pvlib.nrel_numba,2.302151843347626
221,1000,10x10,pvlib.nrel_numpy,10.384267593350764
222,1000,10x10,sg2.sg2_c++,0.2131451433281957
223,1000,10x10,sunwhere.iqbal_numexpr,0.2056590633340723
224,1000,10x10,sunwhere.iqbal_numpy,0.2391645900085374
225,1000,10x10,sunwhere.nrel_numexpr,0.4420728266753334
226,1000,10x10,sunwhere.psa_numexpr,0.2028127866409098
227,1000,10x10,sunwhere.psa_numpy,0.2286356233283489
228,1000,10x10,sunwhere.soltrack_numexpr,0.2081524866419689
229,1000,10x10,sunwhere.soltrack_numpy,0.2218403300018205
230,1000,50x50,pvlib.nrel_numba,2.139341833198948
231,1000,50x50,pvlib.nrel_numpy,9.197177460400658
232,1000,50x50,sg2.sg2_c++,0.1248249214676131
233,1000,50x50,sunwhere.iqbal_numexpr,0.0469510280003305
234,1000,50x50,sunwhere.iqbal_numpy,0.0724031674670792
235,1000,50x50,sunwhere.nrel_numexpr,0.1049759115984974
236,1000,50x50,sunwhere.psa_numexpr,0.0496586333329711
237,1000,50x50,sunwhere.psa_numpy,0.0855022944000666
238,1000,50x50,sunwhere.soltrack_numexpr,0.057950354933079
239,1000,50x50,sunwhere.soltrack_numpy,0.0746730275995408
240,10000,1,pvlib.nrel_numba,2.0077437332171635
241,10000,1,pvlib.nrel_numpy,7.592200666598122
242,10000,1,sg2.sg2_c++,1.171356366588346
243,10000,1,sunwhere.iqbal_numexpr,5.633281966584036
244,10000,1,sunwhere.iqbal_numpy,4.829888000070544
245,10000,1,sunwhere.nrel_numexpr,11.237431733267536
246,10000,1,sunwhere.psa_numexpr,5.526346100183826
247,10000,1,sunwhere.psa_numpy,5.29111879999012
248,10000,1,sunwhere.soltrack_numexpr,5.313059000278979
249,10000,1,sunwhere.soltrack_numpy,4.694914766635823
250,10000,10,pvlib.nrel_numba,1.8880585166577173
251,10000,10,pvlib.nrel_numpy,6.316912993327908
252,10000,10,sg2.sg2_c++,0.2779243933279455
253,10000,10,sunwhere.iqbal_numexpr,0.5244288633063358
254,10000,10,sunwhere.iqbal_numpy,0.6063472233533199
255,10000,10,sunwhere.nrel_numexpr,0.8570083633336859
256,10000,10,sunwhere.psa_numexpr,0.447205663343387
257,10000,10,sunwhere.psa_numpy,0.6096158699923157
258,10000,10,sunwhere.soltrack_numexpr,0.5294876400148496
259,10000,10,sunwhere.soltrack_numpy,0.5362476133207869
260,10000,100,pvlib.nrel_numba,2.3654299919968858
261,10000,100,pvlib.nrel_numpy,6.218990397331557
262,10000,100,sg2.sg2_c++,0.1407321856653046
263,10000,100,sunwhere.iqbal_numexpr,0.1201784943332313
264,10000,100,sunwhere.iqbal_numpy,0.1685174256672325
265,10000,100,sunwhere.nrel_numexpr,0.1972572653345802
266,10000,100,sunwhere.psa_numexpr,0.1134412600003997
267,10000,100,sunwhere.psa_numpy,0.168217361333518
268,10000,100,sunwhere.soltrack_numexpr,0.1075565843323905
269,10000,100,sunwhere.soltrack_numpy,0.1524154663335745
270,10000,10x10,pvlib.nrel_numba,2.5587749956685006
271,10000,10x10,pvlib.nrel_numpy,6.154503378333174
272,10000,10x10,sg2.sg2_c++,0.137319598000128
273,10000,10x10,sunwhere.iqbal_numexpr,0.1072847533335637
274,10000,10x10,sunwhere.iqbal_numpy,0.1212323763332581
275,10000,10x10,sunwhere.nrel_numexpr,0.1572835196663315
276,10000,10x10,sunwhere.psa_numexpr,0.0706939126685028
277,10000,10x10,sunwhere.psa_numpy,0.1555289836675607
278,10000,10x10,sunwhere.soltrack_numexpr,0.1023343409979133
279,10000,10x10,sunwhere.soltrack_numpy,0.113127379335007
280,50000,1,pvlib.nrel_numba,1.3734385066588095
281,50000,1,pvlib.nrel_numpy,6.609554726649852
282,50000,1,sg2.sg2_c++,0.6413634266937153
283,50000,1,sunwhere.iqbal_numexpr,1.1987014333620514
284,50000,1,sunwhere.iqbal_numpy,1.5349173199986883
285,50000,1,sunwhere.nrel_numexpr,5.08187626672831
286,50000,1,sunwhere.psa_numexpr,1.127795226687643
287,50000,1,sunwhere.psa_numpy,1.2835213000168249
288,50000,1,sunwhere.soltrack_numexpr,1.0662843733734917
289,50000,1,sunwhere.soltrack_numpy,1.3009599133511074
290,50000,10,pvlib.nrel_numba,1.426236271998884
291,50000,10,pvlib.nrel_numpy,6.047420516003816
292,50000,10,sg2.sg2_c++,0.1728796020033769
293,50000,10,sunwhere.iqbal_numexpr,0.198396181333616
294,50000,10,sunwhere.iqbal_numpy,0.2422635213321579
295,50000,10,sunwhere.nrel_numexpr,0.6164942613346891
296,50000,10,sunwhere.psa_numexpr,0.135060252660575
297,50000,10,sunwhere.psa_numpy,0.261741971335141
298,50000,10,sunwhere.soltrack_numexpr,0.1931677699903957
299,50000,10,sunwhere.soltrack_numpy,0.2329000533306195
300,50000,100,pvlib.nrel_numba,1.4218103155998203
301,50000,100,pvlib.nrel_numpy,5.96217371566648
302,50000,100,sg2.sg2_c++,0.1359856254668557
303,50000,100,sunwhere.iqbal_numexpr,0.090329196533518
304,50000,100,sunwhere.iqbal_numpy,0.1380988131333045
305,50000,100,sunwhere.nrel_numexpr,0.1754377595997842
306,50000,100,sunwhere.psa_numexpr,0.0556956606000312
307,50000,100,sunwhere.psa_numpy,0.1427765701332343
308,50000,100,sunwhere.soltrack_numexpr,0.0736958088668567
309,50000,100,sunwhere.soltrack_numpy,0.1227105300000403
310,50000,10x10,pvlib.nrel_numba,1.464383086066421
311,50000,10x10,pvlib.nrel_numpy,6.001414113933183
312,50000,10x10,sg2.sg2_c++,0.1346223924663112
313,50000,10x10,sunwhere.iqbal_numexpr,0.0506193834667404
314,50000,10x10,sunwhere.iqbal_numpy,0.0853036633333734
315,50000,10x10,sunwhere.nrel_numexpr,0.1330396709333096
316,50000,10x10,sunwhere.psa_numexpr,0.0494526282661051
317,50000,10x10,sunwhere.psa_numpy,0.109136904333233
318,50000,10x10,sunwhere.soltrack_numexpr,0.0610751836662529
319,50000,10x10,sunwhere.soltrack_numpy,0.0918588639998536
320,100000,1,pvlib.nrel_numba,1.3666899466625182
321,100000,1,pvlib.nrel_numpy,6.180025559976154
322,100000,1,sg2.sg2_c++,0.5818808800055801
323,100000,1,sunwhere.iqbal_numexpr,0.7543148633218758
324,100000,1,sunwhere.iqbal_numpy,1.0559069833349592
325,100000,1,sunwhere.nrel_numexpr,5.074330609980582
326,100000,1,sunwhere.psa_numexpr,0.6280343199856967
327,100000,1,sunwhere.psa_numpy,0.9421513433214082
328,100000,1,sunwhere.soltrack_numexpr,0.7670316666675111
329,100000,1,sunwhere.soltrack_numpy,0.9267063966763088
330,100000,10,pvlib.nrel_numba,1.3279515746689865
331,100000,10,pvlib.nrel_numpy,6.072071013331879
332,100000,10,sg2.sg2_c++,0.1753958259990516
333,100000,10,sunwhere.iqbal_numexpr,0.1459235663326884
334,100000,10,sunwhere.iqbal_numpy,0.2221557066647316
335,100000,10,sunwhere.nrel_numexpr,0.4802130366636751
336,100000,10,sunwhere.psa_numexpr,0.1157780329983021
337,100000,10,sunwhere.psa_numpy,0.20819814933202
338,100000,10,sunwhere.soltrack_numexpr,0.1299968246700397
339,100000,10,sunwhere.soltrack_numpy,0.1906749103327456
340,100000,100,pvlib.nrel_numba,1.3850326785664946
341,100000,100,pvlib.nrel_numpy,6.2919261670998825
342,100000,100,sg2.sg2_c++,0.1393018287334901
343,100000,100,sunwhere.iqbal_numexpr,0.0713548186334567
344,100000,100,sunwhere.iqbal_numpy,0.1334033280668033
345,100000,100,sunwhere.nrel_numexpr,0.1369151230666223
346,100000,100,sunwhere.psa_numexpr,0.0517850023335389
347,100000,100,sunwhere.psa_numpy,0.1340488429000591
348,100000,100,sunwhere.soltrack_numexpr,0.0635584542331344
349,100000,100,sunwhere.soltrack_numpy,0.1193286783334769
350,100000,10x10,pvlib.nrel_numba,1.4278582915666145
351,100000,10x10,pvlib.nrel_numpy,6.24680292423315
352,100000,10x10,sg2.sg2_c++,0.1398489306668731
353,100000,10x10,sunwhere.iqbal_numexpr,0.0417363082667482
354,100000,10x10,sunwhere.iqbal_numpy,0.0847748605665401
355,100000,10x10,sunwhere.nrel_numexpr,0.116253556166824
356,100000,10x10,sunwhere.psa_numexpr,0.0387719582334587
357,100000,10x10,sunwhere.psa_numpy,0.1010655743665362
358,100000,10x10,sunwhere.soltrack_numexpr,0.0447687313331698
359,100000,10x10,sunwhere.soltrack_numpy,0.0878630883333244
360,500000,1,pvlib.nrel_numba,1.3982586833299135
361,500000,1,pvlib.nrel_numpy,7.762671185332389
362,500000,1,sg2.sg2_c++,0.522853661328554
363,500000,1,sunwhere.iqbal_numexpr,0.5475844453370275
364,500000,1,sunwhere.iqbal_numpy,0.8716598840013224
365,500000,1,sunwhere.nrel_numexpr,4.027253240667052
366,500000,1,sunwhere.psa_numexpr,0.3323270040030668
367,500000,1,sunwhere.psa_numpy,0.6933709193326649
368,500000,1,sunwhere.soltrack_numexpr,0.3746821133342261
369,500000,1,sunwhere.soltrack_numpy,0.6802753499990406
370,500000,10,pvlib.nrel_numba,1.340990629266404
371,500000,10,pvlib.nrel_numpy,8.171143947666861
372,500000,10,sg2.sg2_c++,0.1866728632007531
373,500000,10,sunwhere.iqbal_numexpr,0.1138224428665126
374,500000,10,sunwhere.iqbal_numpy,0.2064058676000665
375,500000,10,sunwhere.nrel_numexpr,0.457507185000092
376,500000,10,sunwhere.psa_numexpr,0.088957130399649
377,500000,10,sunwhere.psa_numpy,0.1948212923998653
378,500000,10,sunwhere.soltrack_numexpr,0.0967185409332159
379,500000,10,sunwhere.soltrack_numpy,0.1722286417330906
380,500000,100,pvlib.nrel_numba,1.3711019771066395
381,500000,100,pvlib.nrel_numpy,8.628026189286757
382,500000,100,sg2.sg2_c++,0.1520533189666457
383,500000,100,sunwhere.iqbal_numexpr,0.0633697384933475
384,500000,100,sunwhere.iqbal_numpy,0.1269842416333267
385,500000,100,sunwhere.nrel_numexpr,0.1102773133066269
386,500000,100,sunwhere.psa_numexpr,0.034733521786693
387,500000,100,sunwhere.psa_numpy,0.1304565330600113
388,500000,100,sunwhere.soltrack_numexpr,0.0500849620199975
389,500000,100,sunwhere.soltrack_numpy,0.1148695463333327
390,500000,10x10,pvlib.nrel_numba,1.3945643432866683
391,500000,10x10,pvlib.nrel_numpy,10.304883832993363
392,500000,10x10,sg2.sg2_c++,0.1498308239867037
393,500000,10x10,sunwhere.iqbal_numexpr,0.039904462446672
394,500000,10x10,sunwhere.iqbal_numpy,0.0824734452266663
395,500000,10x10,sunwhere.nrel_numexpr,0.1109082506333167
396,500000,10x10,sunwhere.psa_numexpr,0.0304054943666172
397,500000,10x10,sunwhere.psa_numpy,0.0949428352266598
398,500000,10x10,sunwhere.soltrack_numexpr,0.0323846028933379
399,500000,10x10,sunwhere.soltrack_numpy,0.0846357858266613
